    # Energy          Si          Cr          Mn          Fe          Co
   -20.89707     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.88707     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.87807     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.86807     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.85907     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.84907     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.83907     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.83007     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.82007     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.81107     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.80107     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.79107     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.78207     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.77207     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.76307     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.75307     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.74307     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.73407     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.72407     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.71507     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.70507     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.69507     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.68607     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.67607     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.66707     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.65707     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.64707     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.63807     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.62807     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.61807     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.60907     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.59907     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.59007     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.58007     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.57007     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.56107     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.55107     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.54207     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.53207     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.52207     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.51307     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.50307     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.49407     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.48407     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.47407     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.46507     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.45507     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.44607     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.43607     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.42607     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.41707     0.00000     0.00000     0.00000     0.00000     0.00000
