    # Energy          Si          Cr          Mn          Fe          Ni
   -21.02776     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.01776     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.00876     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.99876     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.98976     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.97976     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.96976     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.96076     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.95076     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.94176     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.93176     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.92176     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.91276     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.90276     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.89376     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.88376     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.87376     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.86476     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.85476     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.84576     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.83576     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.82576     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.81676     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.80676     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.79776     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.78776     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.77776     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.76876     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.75876     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.74876     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.73976     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.72976     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.72076     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.71076     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.70076     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.69176     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.68176     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.67276     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.66276     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.65276     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.64376     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.63376     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.62476     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.61476     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.60476     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.59576     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.58576     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.57676     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.56676     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.55676     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.54776     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.53776     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.52876     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.51876     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.50876     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.49976     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.48976     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.48076     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.47076     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.46076     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.45176     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.44176     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.43276     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.42276     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.41276     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.40376     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.39376     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.38476     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.37476     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.36476     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.35576     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.34576     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.33676     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.32676     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.31676     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.30776     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.29776     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.28876     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.27876     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.26876     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.25976     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.24976     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.23976     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.23076     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.22076     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.21176     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.20176     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.19176     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.18276     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.17276     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.16376     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.15376     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.14376     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.13476     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.12476     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.11576     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.10576     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.09576     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.08676     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.07676     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.06776     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.05776     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.04776     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.03876     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.02876     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.01976     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.00976     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.99976     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.99076     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.98076     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.97176     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.96176     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.95176     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.94276     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.93276     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.92376     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.91376     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.90376     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.89476     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.88476     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.87576     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.86576     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.85576     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.84676     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.83676     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.82776     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.81776     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.80776     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.79876     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.78876     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.77976     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.76976     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.75976     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.75076     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.74076     0.00000     0.00000     0.00000     0.00000     0.00000
