    # Energy          Si          Cr          Fe          Co          Ni
   -21.10764     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.09764     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.08764     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.07764     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.06764     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.05764     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.04764     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.03764     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.02764     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.01764     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.00764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.99764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.98764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.97764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.96764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.95764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.94764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.93764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.92764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.91764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.90764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.89764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.88764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.87764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.86764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.85764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.84764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.83764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.82764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.81764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.80764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.79764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.78764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.77764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.76764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.75764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.74764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.73764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.72764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.71764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.70764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.69764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.68764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.67764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.66764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.65764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.64764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.63764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.62764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.61764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.60764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.59764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.58764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.57764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.56764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.55764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.54764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.53764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.52764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.51764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.50764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.49764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.48764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.47764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.46764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.45764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.44764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.43764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.42764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.41764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.40764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.39764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.38764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.37764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.36764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.35764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.34764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.33764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.32764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.31764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.30764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.29764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.28764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.27764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.26764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.25764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.24764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.23764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.22764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.21764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.20764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.19764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.18764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.17764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.16764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.15764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.14764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.13764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.12764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.11764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.10764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.09764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.08764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.07764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.06764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.05764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.04764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.03764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.02764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.01764     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.00764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.99764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.98764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.97764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.96764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.95764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.94764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.93764     0.00000     0.00000     0.00000     0.00000     0.00000
