    # Energy          Si          Cr          Mn          Fe          Ni
   -20.84750     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.83750     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.82850     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.81850     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.80950     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.79950     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.78950     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.78050     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.77050     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.76150     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.75150     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.74150     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.73250     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.72250     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.71350     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.70350     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.69350     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.68450     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.67450     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.66550     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.65550     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.64550     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.63650     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.62650     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.61750     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.60750     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.59750     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.58850     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.57850     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.56850     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.55950     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.54950     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.54050     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.53050     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.52050     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.51150     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.50150     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.49250     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.48250     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.47250     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.46350     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.45350     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.44450     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.43450     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.42450     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.41550     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.40550     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.39650     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.38650     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.37650     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.36750     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.35750     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.34850     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.33850     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.32850     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.31950     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.30950     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.30050     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.29050     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.28050     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.27150     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.26150     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.25250     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.24250     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.23250     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.22350     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.21350     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.20450     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.19450     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.18450     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.17550     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.16550     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.15650     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.14650     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.13650     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.12750     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.11750     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.10850     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.09850     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.08850     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.07950     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.06950     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.05950     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.05050     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.04050     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.03150     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.02150     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.01150     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.00250     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.99250     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.98350     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.97350     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.96350     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.95450     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.94450     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.93550     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.92550     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.91550     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.90650     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.89650     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.88750     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.87750     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.86750     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.85850     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.84850     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.83950     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.82950     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.81950     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.81050     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.80050     0.00000     0.00000     0.00000     0.00000     0.00000
