    # Energy          Si          Cr          Mn          Fe          Ni
   -20.98089     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.97089     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.96189     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.95189     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.94289     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.93289     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.92289     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.91389     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.90389     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.89489     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.88489     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.87489     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.86589     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.85589     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.84689     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.83689     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.82689     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.81789     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.80789     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.79889     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.78889     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.77889     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.76989     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.75989     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.75089     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.74089     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.73089     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.72189     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.71189     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.70189     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.69289     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.68289     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.67389     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.66389     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.65389     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.64489     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.63489     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.62589     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.61589     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.60589     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.59689     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.58689     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.57789     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.56789     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.55789     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.54889     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.53889     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.52989     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.51989     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.50989     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.50089     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.49089     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.48189     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.47189     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.46189     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.45289     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.44289     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.43389     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.42389     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.41389     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.40489     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.39489     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.38589     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.37589     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.36589     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.35689     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.34689     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.33789     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.32789     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.31789     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.30889     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.29889     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.28989     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.27989     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.26989     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.26089     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.25089     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.24189     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.23189     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.22189     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.21289     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.20289     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.19289     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.18389     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.17389     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.16489     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.15489     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.14489     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.13589     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.12589     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.11689     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.10689     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.09689     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.08789     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.07789     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.06889     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.05889     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.04889     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.03989     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.02989     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.02089     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.01089     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.00089     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.99189     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.98189     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.97289     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.96289     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.95289     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.94389     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.93389     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.92489     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.91489     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.90489     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.89589     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.88589     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.87689     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.86689     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.85689     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.84789     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.83789     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.82889     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.81889     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.80889     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.79989     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.78989     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.78089     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.77089     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.76089     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.75189     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.74189     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.73289     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.72289     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.71289     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.70389     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.69389     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.68389     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.67489     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.66489     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.65589     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.64589     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.63589     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.62689     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.61689     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.60789     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.59789     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.58789     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.57889     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.56889     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.55989     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.54989     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.53989     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.53089     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.52089     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.51189     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.50189     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.49189     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.48289     0.00000     0.00000     0.00000     0.00000     0.00000
