    # Energy          Si          Cr          Mn          Fe          Ni
   -20.89856     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.88856     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.87956     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.86956     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.86056     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.85056     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.84056     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.83156     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.82156     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.81256     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.80256     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.79256     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.78356     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.77356     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.76456     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.75456     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.74456     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.73556     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.72556     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.71656     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.70656     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.69656     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.68756     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.67756     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.66856     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.65856     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.64856     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.63956     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.62956     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.61956     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.61056     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.60056     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.59156     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.58156     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.57156     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.56256     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.55256     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.54356     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.53356     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.52356     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.51456     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.50456     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.49556     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.48556     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.47556     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.46656     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.45656     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.44756     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.43756     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.42756     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.41856     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.40856     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.39956     0.00000     0.00000     0.00000     0.00000     0.00000
