    # Energy          Si          Ti          Cr          Mn          Fe
   -20.10804     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.09804     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.08904     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.07904     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.07004     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.06004     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.05004     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.04104     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.03104     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.02204     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.01204     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.00204     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.99304     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.98304     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.97404     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.96404     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.95404     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.94504     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.93504     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.92604     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.91604     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.90604     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.89704     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.88704     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.87804     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.86804     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.85804     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.84904     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.83904     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.82904     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.82004     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.81004     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.80104     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.79104     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.78104     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.77204     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.76204     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.75304     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.74304     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.73304     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.72404     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.71404     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.70504     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.69504     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.68504     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.67604     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.66604     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.65704     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.64704     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.63704     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.62804     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.61804     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.60904     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.59904     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.58904     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.58004     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.57004     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.56104     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.55104     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.54104     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.53204     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.52204     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.51304     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.50304     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.49304     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.48404     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.47404     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.46504     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.45504     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.44504     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.43604     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.42604     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.41704     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.40704     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.39704     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.38804     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.37804     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.36904     0.00000     0.00000     0.00000     0.00000     0.00000
